"Date Time","WDIR (degT)","WSPD (m/s)","WVHT (m)","DPD (sec)","APD (sec)","MWD (degT)","PRES (hPa)","ATMP (degC)","WTMP (degC)"
17.07.2022 21:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.10,18.30
17.07.2022 21:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.10,18.40
17.07.2022 21:40,350.00,7.00,1.70,-9999.0,5.6,175.00,1021.6,17.20,18.40
17.07.2022 21:50,350.00,6.00,1.70,15.0,5.6,175.00,1021.5,17.30,-9999.00
17.07.2022 22:00,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.40,18.40
17.07.2022 22:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.7,17.60,18.40
17.07.2022 22:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.60,18.40
17.07.2022 22:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.60,18.40
17.07.2022 22:40,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.50,18.40
17.07.2022 22:50,360.00,8.00,1.70,16.0,5.8,216.00,1021.5,17.40,18.40
17.07.2022 23:00,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.4,17.10,18.40
17.07.2022 23:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.3,17.20,18.40
17.07.2022 23:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.3,17.30,18.40
17.07.2022 23:40,360.00,8.00,1.60,-9999.0,5.6,6.00,1021.2,17.30,18.40
17.07.2022 23:50,360.00,7.00,1.60,5.0,5.6,6.00,1021.2,17.30,-9999.00
18.07.2022 00:00,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.2,17.20,18.40
18.07.2022 00:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.2,17.30,18.40
18.07.2022 00:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.2,17.30,18.40
18.07.2022 00:30,10.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.2,17.20,18.40
18.07.2022 00:40,360.00,7.00,1.70,-9999.0,5.9,185.00,1021.2,17.20,18.40
18.07.2022 00:50,350.00,6.00,1.70,15.0,5.9,185.00,1021.1,17.00,18.40
18.07.2022 01:00,350.00,6.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.00,18.40
18.07.2022 01:10,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.00,18.40
18.07.2022 01:20,350.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.2,16.90,18.40
18.07.2022 01:30,360.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,16.80,18.40
18.07.2022 01:40,350.00,9.00,1.80,-9999.0,5.8,351.00,1021.1,17.00,18.40
18.07.2022 01:50,360.00,8.00,1.80,6.0,5.8,351.00,1021.0,17.10,-9999.00
18.07.2022 02:00,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.0,17.40,18.40
18.07.2022 02:10,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.30,18.40
18.07.2022 02:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.30,18.40
18.07.2022 02:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.30,18.40
18.07.2022 02:40,10.00,8.00,1.70,-9999.0,5.5,0.00,1021.1,17.30,18.40
18.07.2022 02:50,10.00,8.00,1.70,6.0,5.5,0.00,1021.0,17.30,18.40
18.07.2022 03:00,10.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.0,17.20,18.40
18.07.2022 03:10,10.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.20,18.40
18.07.2022 03:20,20.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.0,17.20,18.40
18.07.2022 03:30,10.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.0,16.90,18.40
18.07.2022 03:40,10.00,8.00,1.70,-9999.0,5.6,313.00,1021.1,17.00,18.40
18.07.2022 03:50,10.00,8.00,1.70,8.0,5.6,313.00,1021.2,17.00,-9999.00
18.07.2022 04:00,10.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.10,18.40
18.07.2022 04:10,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.10,18.40
18.07.2022 04:20,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.30,18.40
18.07.2022 04:30,360.00,7.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.1,17.30,18.40
18.07.2022 04:40,360.00,8.00,1.70,-9999.0,5.7,311.00,1021.2,17.40,18.40
18.07.2022 04:50,10.00,8.00,1.70,9.0,5.7,311.00,1021.2,17.30,-9999.00
18.07.2022 05:00,360.00,10.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.3,17.40,18.40
18.07.2022 05:10,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.4,17.50,18.40
18.07.2022 05:20,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.4,17.40,18.40
18.07.2022 05:30,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.4,17.40,18.40
18.07.2022 05:40,360.00,8.00,1.80,-9999.0,5.5,350.00,1021.5,17.40,18.40
18.07.2022 05:50,360.00,8.00,1.80,6.0,5.5,350.00,1021.5,17.50,-9999.00
18.07.2022 06:00,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.6,17.50,18.40
18.07.2022 06:10,360.00,8.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.50,18.40
18.07.2022 06:20,360.00,9.00,-9999.00,-9999.0,-9999.0,-9999.00,1021.5,17.50,18.40
